delivery_id,order_id,delivery_time_mins,delivery_status,rider_rating
245,245,58,Delivered,3.4
246,246,69,Delivered,4.0
247,247,74,Delivered,4.7
248,248,41,Delivered,4.4
249,249,88,Delivered,3.9
250,250,30,Delivered,3.4
251,251,27,Delivered,3.4
252,252,69,Delivered,4.7
253,253,22,Delayed,2.6
254,254,33,Delivered,5.0
255,255,39,Delayed,4.2
256,256,11,Delivered,4.2
257,257,34,Delivered,2.6
258,258,59,Delayed,4.0
259,259,23,Delivered,3.7
260,260,15,Delivered,2.8
261,261,85,Delivered,3.2
262,262,39,Delayed,4.7
263,263,39,Delivered,3.9
264,264,47,Delivered,3.5
265,265,67,Delivered,2.7
266,266,50,Delayed,4.3
267,267,66,Delivered,4.3
268,268,45,Delivered,4.0
269,269,73,Delivered,3.8
270,270,25,Delivered,3.6
271,271,87,Delivered,4.0
272,272,81,Delivered,3.1
273,273,23,Delivered,4.9
274,274,40,Delivered,4.0
275,275,75,Delivered,3.3
276,276,77,Delivered,3.6
277,277,74,Delivered,4.5
278,278,64,Delivered,2.9
279,279,87,Delivered,3.2
280,280,49,Delayed,4.2
281,281,34,Delivered,3.3
282,282,34,Delivered,4.5
283,283,12,Delivered,2.8
284,284,78,Delivered,4.4
285,285,35,Delayed,2.7
286,286,49,Delayed,2.5
287,287,47,Delivered,4.7
288,288,47,Delivered,4.0
289,289,77,Delivered,3.4
290,290,16,Delivered,3.1
291,291,39,Delivered,4.0
292,292,28,Delivered,3.8
293,293,44,Delivered,5.0
294,294,42,Delivered,5.0
295,295,42,Delivered,4.1
296,296,87,Delivered,3.6
297,297,47,Delivered,3.7
298,298,19,Delivered,4.2
299,299,66,Delivered,2.8
300,300,37,Delivered,3.3
301,301,87,Delivered,2.7
302,302,47,Delivered,2.7
303,303,25,Delivered,3.0
304,304,30,Delayed,3.7
305,305,15,Delivered,4.5
306,306,50,Delivered,3.7
307,307,24,Delivered,3.3
308,308,12,Delayed,2.7
309,309,52,Delivered,3.9
310,310,56,Delivered,3.2
311,311,23,Delivered,4.0
312,312,75,Delivered,4.9
313,313,38,Delivered,2.8
314,314,13,Delivered,3.0
315,315,35,Delivered,3.7
316,316,21,Delivered,4.9
317,317,11,Delivered,4.4
318,318,26,Cancelled,4.7
319,319,44,Delivered,3.3
320,320,19,Delivered,5.0
321,321,52,Delivered,2.8
322,322,30,Cancelled,2.6
323,323,24,Delivered,4.6
324,324,44,Delivered,4.8
325,325,69,Delivered,2.7
326,326,53,Delivered,2.8
327,327,14,Delivered,2.6
328,328,82,Delivered,2.8
329,329,27,Delivered,3.0
330,330,30,Cancelled,4.9
331,331,81,Delivered,4.2
332,332,83,Delivered,4.4
333,333,60,Cancelled,4.4
334,334,50,Delayed,3.8
335,335,33,Delivered,4.5
336,336,33,Delayed,4.0
337,337,47,Delivered,3.3
338,338,53,Delivered,3.9
339,339,66,Cancelled,3.8
340,340,68,Delivered,4.6
341,341,43,Delivered,5.0
342,342,84,Delivered,3.5
343,343,32,Delivered,4.4
344,344,52,Delivered,2.7
345,345,49,Delivered,4.4
346,346,56,Cancelled,3.4
347,347,50,Delivered,2.6
348,348,56,Delivered,3.4
349,349,29,Delayed,4.0
350,350,86,Delivered,2.8
351,351,74,Delivered,4.8
352,352,77,Delivered,2.7
353,353,33,Delivered,4.8
354,354,45,Delivered,4.3
355,355,54,Delivered,3.3
356,356,11,Delivered,3.5
357,357,37,Delivered,4.4
358,358,35,Delivered,4.0
359,359,32,Delivered,4.2
360,360,88,Delivered,3.5
361,361,45,Delivered,3.7
362,362,15,Delivered,5.0
363,363,44,Delayed,3.0
364,364,47,Delivered,3.5
365,365,44,Cancelled,3.2
366,366,83,Delivered,4.4
367,367,62,Delayed,4.4
368,368,47,Delivered,3.2
369,369,68,Delivered,2.7
370,370,52,Delivered,2.5
371,371,13,Delivered,3.6
372,372,14,Delivered,3.5
373,373,77,Delivered,5.0
374,374,54,Delivered,3.7
375,375,89,Delivered,3.1
376,376,34,Delivered,4.7
377,377,87,Delivered,3.7
378,378,20,Delivered,4.0
379,379,38,Delivered,2.7
380,380,43,Delivered,3.5
381,381,23,Delivered,4.9
382,382,33,Delivered,4.0
383,383,68,Delivered,3.4
384,384,48,Delivered,4.1
385,385,35,Delivered,4.8
386,386,52,Delivered,3.2
387,387,45,Delayed,3.8
388,388,48,Delivered,4.9
389,389,70,Delivered,2.9
390,390,25,Delivered,4.3
391,391,68,Delivered,4.0
392,392,15,Delivered,4.2
393,393,65,Delivered,3.4
394,394,17,Delayed,3.3
395,395,36,Delayed,4.2
396,396,80,Delivered,3.0
397,397,36,Delivered,3.5
398,398,55,Delivered,3.0
399,399,50,Delivered,2.5
400,400,88,Delayed,4.9
401,401,34,Delivered,3.6
402,402,27,Delivered,4.9
403,403,21,Delivered,2.9
404,404,60,Delivered,4.0
405,405,48,Delayed,3.0
406,406,19,Delivered,4.5
407,407,83,Delivered,4.5
408,408,86,Delivered,2.8
409,409,63,Delivered,4.8
410,410,38,Delivered,3.0
411,411,50,Delivered,4.0
412,412,18,Delivered,5.0
413,413,72,Cancelled,4.7
414,414,86,Delivered,4.9
415,415,46,Delivered,3.4
416,416,23,Delivered,2.8
417,417,82,Delivered,3.0
418,418,81,Delivered,3.8
419,419,48,Cancelled,4.5
420,420,49,Delivered,2.9
421,421,63,Delivered,4.1
422,422,12,Delivered,3.3
423,423,64,Delivered,3.4
424,424,42,Cancelled,4.2
425,425,80,Delivered,3.7
426,426,28,Delayed,4.5
427,427,43,Delayed,2.9
428,428,87,Delivered,4.5
429,429,59,Delivered,2.7
430,430,56,Cancelled,3.0
431,431,55,Delivered,4.1
432,432,65,Delivered,4.6
433,433,66,Delivered,3.1
434,434,60,Delivered,3.3
435,435,63,Delivered,3.8
436,436,37,Delivered,3.0
437,437,28,Delivered,4.5
438,438,36,Delayed,4.4
439,439,57,Delivered,2.9
440,440,28,Delivered,3.7
441,441,60,Delivered,4.4
442,442,16,Delivered,3.3
443,443,38,Delivered,4.1
444,444,52,Delivered,2.6
445,445,78,Delivered,4.0
446,446,67,Delivered,2.9
447,447,17,Delivered,4.6
448,448,51,Delayed,3.4
449,449,85,Delivered,3.2
450,450,51,Delayed,4.6
451,451,22,Delayed,2.6
452,452,35,Delivered,3.5
453,453,27,Delivered,3.4
454,454,51,Delivered,3.2
455,455,60,Delayed,4.8
456,456,25,Delivered,4.4
457,457,12,Delivered,2.7
458,458,88,Delivered,4.3
459,459,54,Delivered,3.8
460,460,31,Delivered,4.8
461,461,32,Delivered,3.3
462,462,68,Delivered,3.9
463,463,71,Delivered,3.8
464,464,77,Delivered,3.7
465,465,63,Delivered,3.6
466,466,66,Delivered,3.0
467,467,32,Delivered,4.4
468,468,69,Delivered,3.6
469,469,82,Delayed,4.9
470,470,64,Delivered,3.2
471,471,89,Delivered,4.2
472,472,72,Delivered,4.9
473,473,65,Delivered,4.2
474,474,64,Delivered,4.7
475,475,34,Delivered,4.6
476,476,35,Delivered,3.4
477,477,58,Delivered,4.0
478,478,72,Delivered,2.9
479,479,54,Delivered,3.8
480,480,82,Delivered,3.1
481,481,88,Delivered,4.4
482,482,48,Delivered,3.8
483,483,74,Cancelled,3.5
484,484,78,Delivered,3.2
485,485,65,Delivered,5.0
486,486,18,Delivered,2.7
487,487,79,Delivered,2.6
488,488,37,Delivered,3.0
489,489,54,Delivered,4.9
490,490,35,Delivered,4.9
491,491,37,Delivered,4.1
492,492,49,Delivered,4.7
493,493,24,Delivered,3.0
494,494,15,Delivered,4.9
495,495,36,Delivered,2.9
496,496,47,Delivered,2.8
497,497,77,Delayed,2.8
498,498,84,Delivered,3.9
499,499,73,Delivered,4.5
500,500,39,Delivered,3.4
501,501,12,Delivered,4.9
502,502,71,Delivered,3.6
503,503,21,Delayed,2.9
504,504,39,Delivered,3.7
505,505,47,Delivered,4.2
506,506,69,Delivered,4.6
507,507,47,Delivered,3.6
508,508,24,Delivered,4.0
509,509,27,Delivered,3.2
510,510,61,Delivered,4.1
511,511,38,Delivered,5.0
512,512,69,Delivered,2.6
513,513,30,Delayed,4.7
514,514,26,Delivered,3.9
515,515,27,Delivered,3.1
516,516,66,Delivered,4.9
517,517,46,Delivered,3.7
518,518,69,Delayed,3.3
519,519,47,Cancelled,3.0
520,520,21,Delivered,3.1
521,521,84,Delivered,4.6
522,522,82,Delivered,4.0
523,523,10,Delivered,4.8
524,524,67,Delivered,3.1
525,525,12,Delivered,2.8
526,526,72,Delivered,2.5
527,527,30,Cancelled,3.8
528,528,32,Delivered,5.0
529,529,18,Delivered,4.2
530,530,64,Cancelled,3.3
531,531,28,Delivered,4.7
532,532,71,Delivered,4.5
533,533,48,Delivered,2.5
534,534,85,Delivered,4.5
535,535,36,Delayed,3.3
536,536,55,Delivered,2.9
537,537,43,Delivered,3.1
538,538,42,Delivered,3.7
539,539,59,Delayed,3.6
540,540,29,Cancelled,3.2
541,541,49,Delivered,2.9
542,542,67,Delivered,4.4
543,543,40,Delivered,5.0
544,544,47,Delivered,4.4
545,545,54,Delivered,3.2
546,546,50,Delivered,3.1
547,547,18,Delivered,3.0
548,548,18,Delivered,2.8
549,549,72,Delivered,3.9
550,550,88,Cancelled,4.0
551,551,86,Delivered,4.3
552,552,31,Delivered,4.2
553,553,25,Delayed,3.2
554,554,41,Delivered,3.3
555,555,75,Delivered,4.2
556,556,23,Delivered,3.4
557,557,47,Delivered,3.0
558,558,17,Delivered,3.4
559,559,30,Delivered,3.2
560,560,65,Delivered,2.7
561,561,55,Delivered,4.6
562,562,52,Delivered,4.6
563,563,55,Delivered,3.0
564,564,57,Delivered,2.7
565,565,79,Delivered,4.3
566,566,40,Delivered,3.0
567,567,42,Delivered,3.5
568,568,53,Delivered,2.7
569,569,80,Delivered,3.1
570,570,17,Delivered,4.5
571,571,82,Delayed,4.5
572,572,11,Delivered,3.0
573,573,26,Delivered,3.3
574,574,61,Delivered,2.8
575,575,54,Delivered,2.7
576,576,46,Delivered,5.0
577,577,51,Delivered,4.1
578,578,53,Delivered,3.9
579,579,47,Delivered,4.4
580,580,15,Delayed,4.6
581,581,77,Delivered,4.5
582,582,60,Cancelled,2.5
583,583,44,Delivered,3.0
584,584,67,Delivered,4.1
585,585,66,Delivered,3.4
586,586,82,Delivered,5.0
587,587,15,Cancelled,4.2
588,588,22,Delivered,4.9
589,589,68,Delivered,3.0
590,590,39,Delivered,4.7
591,591,11,Delivered,3.3
592,592,67,Delivered,5.0
593,593,45,Cancelled,2.9
594,594,81,Delivered,3.8
595,595,54,Delivered,4.5
596,596,18,Delivered,3.6
597,597,74,Delivered,3.7
598,598,86,Delivered,5.0
599,599,59,Delivered,3.6
600,600,88,Cancelled,4.0
601,601,41,Delivered,2.6
602,602,52,Delivered,4.6
603,603,87,Delivered,4.1
604,604,63,Delivered,3.5
605,605,56,Delivered,2.5
606,606,23,Delivered,4.0
607,607,57,Delivered,2.5
608,608,64,Delivered,2.5
609,609,38,Delivered,4.0
610,610,56,Delivered,3.0
611,611,72,Delayed,3.0
612,612,28,Delivered,4.1
613,613,18,Delayed,2.6
614,614,46,Delivered,3.3
615,615,61,Delivered,2.9
616,616,66,Cancelled,4.0
617,617,37,Delayed,4.2
618,618,45,Delivered,4.3
619,619,73,Delivered,3.1
620,620,27,Delivered,2.7
621,621,44,Delivered,2.7
622,622,77,Delivered,3.6
623,623,87,Delivered,4.9
624,624,48,Delivered,3.0
625,625,17,Delivered,3.1
626,626,89,Delivered,2.8
627,627,24,Delivered,4.0
628,628,16,Delayed,4.2
629,629,26,Delivered,4.1
630,630,73,Delayed,4.7
631,631,21,Delivered,3.7
632,632,65,Delivered,2.8
633,633,55,Delivered,3.2
634,634,56,Delivered,4.2
635,635,88,Delivered,4.0
636,636,25,Delivered,3.8
637,637,78,Cancelled,4.2
638,638,11,Delivered,4.1
639,639,63,Delivered,4.7
640,640,36,Delivered,4.0
641,641,40,Delivered,4.4
642,642,50,Delivered,3.1
643,643,45,Cancelled,4.2
644,644,56,Delivered,4.8
645,645,52,Delivered,3.5
646,646,74,Delivered,4.4
647,647,59,Delivered,4.3
648,648,10,Delivered,2.6
649,649,81,Delivered,4.0
650,650,66,Delivered,2.8
651,651,25,Delivered,4.9
652,652,37,Delivered,4.5
653,653,31,Delivered,2.8
654,654,50,Delivered,2.8
655,655,85,Delivered,4.0
656,656,28,Delivered,3.4
657,657,59,Delivered,2.6
658,658,68,Delayed,3.9
659,659,78,Delivered,3.5
660,660,43,Delivered,2.8
661,661,48,Delivered,4.5
662,662,83,Delivered,4.8
663,663,16,Cancelled,4.4
664,664,61,Delivered,4.6
665,665,69,Delivered,3.0
666,666,61,Delivered,3.2
667,667,88,Delivered,3.0
668,668,33,Delivered,4.4
669,669,35,Delivered,4.9
670,670,19,Delivered,4.3
671,671,26,Delivered,4.7
672,672,87,Cancelled,4.1
673,673,11,Delivered,3.5
674,674,86,Delivered,3.6
675,675,36,Cancelled,2.7
676,676,82,Delivered,2.6
677,677,80,Delivered,4.2
678,678,57,Delivered,3.6
679,679,83,Delivered,3.9
680,680,18,Delivered,3.9
681,681,32,Delivered,3.2
682,682,80,Delivered,3.7
683,683,82,Delayed,3.7
684,684,36,Delivered,3.5
685,685,80,Delivered,4.6
686,686,52,Delivered,3.6
687,687,16,Delivered,4.0
688,688,72,Delivered,4.7
689,689,53,Delivered,4.7
690,690,48,Delivered,4.7
691,691,49,Delayed,3.2
692,692,16,Delivered,2.6
693,693,79,Delivered,3.2
694,694,34,Delayed,3.2
695,695,68,Delivered,4.8
696,696,22,Delivered,4.1
697,697,71,Delivered,2.7
698,698,17,Delivered,2.8
699,699,54,Delayed,2.9
700,700,27,Delivered,4.1
701,701,69,Delivered,4.3
702,702,69,Delivered,4.6
703,703,11,Delivered,4.9
704,704,75,Delivered,3.0
705,705,23,Delivered,3.3
706,706,57,Delivered,3.1
707,707,65,Delivered,3.4
708,708,21,Delivered,4.8
709,709,64,Delivered,3.9
710,710,37,Delivered,4.3
711,711,13,Delayed,3.7
712,712,45,Delayed,2.6
713,713,59,Delivered,2.7
714,714,12,Cancelled,3.8
715,715,10,Delivered,4.3
716,716,26,Delivered,3.0
717,717,80,Delivered,4.3
718,718,71,Delivered,4.5
719,719,57,Delivered,3.5
720,720,71,Delivered,4.4
721,721,78,Delayed,3.5
722,722,28,Delivered,4.2
723,723,43,Delivered,4.4
724,724,58,Delivered,5.0
725,725,89,Delivered,3.4
726,726,56,Delivered,3.5
727,727,59,Delivered,2.9
728,728,35,Delivered,3.0
729,729,65,Delivered,4.2
730,730,87,Delivered,4.8
731,731,23,Delivered,3.5
732,732,87,Delivered,2.9
733,733,34,Delivered,3.2
734,734,13,Delivered,3.6
735,735,88,Cancelled,3.2
736,736,41,Delivered,3.1
737,737,87,Delayed,4.3
738,738,74,Delayed,2.5
739,739,70,Delivered,3.8
740,740,29,Delivered,4.5
741,741,83,Cancelled,3.2
742,742,19,Delayed,4.0
743,743,43,Delivered,4.2
744,744,70,Delivered,4.1
745,745,36,Delivered,3.6
746,746,49,Delivered,3.4
747,747,74,Delivered,4.6
748,748,42,Delivered,4.4
749,749,77,Delivered,3.3
750,750,80,Delivered,2.8
751,751,18,Delivered,2.7
752,752,25,Delivered,2.7
753,753,14,Delivered,4.0
754,754,32,Delayed,2.6
755,755,52,Delivered,3.3
756,756,66,Delivered,4.4
757,757,60,Delivered,3.2
758,758,22,Delivered,4.4
759,759,33,Delivered,4.4
760,760,20,Delivered,3.1
761,761,61,Delivered,4.3
762,762,26,Delivered,4.4
763,763,46,Delivered,3.5
764,764,22,Delivered,3.0
765,765,71,Delayed,3.8
766,766,17,Delivered,4.8
767,767,65,Delivered,4.1
768,768,79,Delivered,2.9
769,769,53,Delivered,4.2
770,770,69,Delivered,3.6
771,771,50,Delivered,4.0
772,772,30,Delivered,4.3
773,773,51,Delivered,3.8
774,774,83,Delayed,4.5
775,775,83,Delivered,4.3
776,776,38,Delivered,4.0
777,777,89,Delivered,2.9
778,778,74,Delayed,4.6
779,779,26,Delayed,4.8
780,780,39,Delivered,2.8
781,781,35,Delivered,3.7
782,782,62,Delivered,3.1
783,783,28,Delivered,4.4
784,784,62,Delivered,4.3
785,785,26,Delivered,2.9
786,786,55,Delivered,4.7
787,787,62,Delayed,3.0
788,788,73,Delayed,4.5
789,789,54,Delivered,3.6
790,790,58,Delivered,3.3
791,791,28,Cancelled,2.9
792,792,80,Delivered,2.9
793,793,74,Delivered,4.2
794,794,46,Delivered,3.9
795,795,79,Delivered,2.8
796,796,35,Delivered,2.8
797,797,11,Delivered,2.7
798,798,68,Delivered,4.4
799,799,14,Delivered,4.3
800,800,46,Delivered,2.6
801,801,40,Delivered,3.9
802,802,85,Cancelled,2.7
803,803,57,Delivered,4.8
804,804,15,Delivered,4.8
805,805,24,Delivered,4.2
806,806,24,Delivered,4.8
807,807,70,Delivered,4.5
808,808,25,Delivered,4.6
809,809,29,Delivered,3.9
810,810,86,Delivered,3.3
811,811,53,Delivered,3.0
812,812,51,Delivered,3.3
813,813,55,Delivered,4.1
814,814,43,Delivered,2.9
815,815,73,Delivered,3.1
816,816,38,Delivered,3.7
817,817,12,Delivered,3.1
818,818,18,Delivered,4.0
819,819,84,Delivered,4.8
820,820,84,Delivered,4.4
821,821,34,Delivered,4.2
822,822,51,Delivered,4.0
823,823,55,Delivered,3.7
824,824,82,Delayed,3.0
825,825,68,Delivered,4.7
826,826,30,Delivered,3.1
827,827,83,Delivered,2.7
828,828,31,Delivered,4.4
829,829,38,Delivered,2.9
830,830,72,Delivered,3.4
831,831,82,Delivered,2.6
832,832,70,Cancelled,2.8
833,833,73,Delivered,2.9
834,834,78,Delivered,2.6
835,835,49,Delivered,4.1
836,836,84,Delivered,4.6
837,837,10,Delivered,3.4
838,838,74,Delivered,4.7
839,839,71,Delayed,3.0
840,840,63,Delivered,3.3
841,841,69,Delivered,2.9
842,842,55,Delivered,4.1
843,843,14,Delivered,3.5
844,844,31,Delivered,4.0
845,845,62,Delivered,4.4
846,846,79,Delivered,3.9
847,847,41,Delivered,4.1
848,848,20,Delivered,4.8
849,849,19,Delivered,3.2
850,850,48,Delivered,3.4
851,851,40,Delivered,4.3
852,852,21,Delivered,4.0
853,853,89,Delivered,2.9
854,854,47,Delivered,3.4
855,855,76,Delayed,3.7
856,856,75,Delivered,3.5
857,857,61,Delivered,2.9
858,858,14,Delivered,4.8
859,859,20,Cancelled,4.4
860,860,34,Delivered,3.7
861,861,44,Delivered,4.2
862,862,44,Delivered,4.7
863,863,31,Delivered,2.8
864,864,46,Delivered,3.1
865,865,64,Delivered,3.9
866,866,84,Cancelled,4.5
867,867,81,Cancelled,2.6
868,868,73,Delivered,5.0
869,869,29,Delivered,3.6
870,870,13,Delivered,3.4
871,871,27,Delivered,3.2
872,872,60,Delivered,2.9
873,873,77,Delayed,4.5
874,874,29,Delivered,4.9
875,875,18,Delivered,3.5
876,876,89,Cancelled,4.9
877,877,35,Delivered,4.6
878,878,34,Delivered,3.7
879,879,77,Delivered,4.2
880,880,50,Delivered,3.6
881,881,68,Delivered,3.9
882,882,54,Delivered,2.6
883,883,50,Delivered,4.2
884,884,47,Delayed,2.6
885,885,28,Delayed,4.5
886,886,23,Delivered,4.6
887,887,30,Delivered,3.1
888,888,24,Delivered,3.3
889,889,12,Delivered,3.7
890,890,46,Delivered,4.0
891,891,55,Delayed,3.2
892,892,25,Delayed,4.0
893,893,23,Delivered,3.2
894,894,18,Delivered,2.6
895,895,16,Delivered,2.5
896,896,23,Delivered,2.8
897,897,15,Delivered,4.5
898,898,24,Delivered,4.9
899,899,61,Delivered,3.6
900,900,81,Delivered,3.8
901,901,43,Delayed,2.9
902,902,10,Delivered,3.9
903,903,78,Delivered,2.9
904,904,29,Delivered,4.0
905,905,89,Delivered,4.8
906,906,16,Delivered,3.0
907,907,16,Delivered,4.4
908,908,59,Delayed,2.6
909,909,11,Delivered,3.4
910,910,56,Delivered,2.8
911,911,23,Delivered,3.4
912,912,40,Delivered,2.9
913,913,59,Delivered,3.4
914,914,70,Delayed,3.5
915,915,50,Delivered,3.3
916,916,23,Delivered,4.1
917,917,14,Delivered,4.8
918,918,84,Delivered,3.5
919,919,14,Delivered,3.0
920,920,73,Delivered,3.2
921,921,38,Delivered,4.6
922,922,84,Delivered,3.9
923,923,14,Cancelled,3.6
924,924,45,Delivered,2.9
925,925,88,Delayed,3.6
