product_id,product_name,category,brand,mrp,cost_price
73,Ipsum Product,Household,Saxena Inc,669.79,440.76
74,Incidunt Product,Household,"Rao, Deo and Ravel",747.06,591.18
75,Ab Product,Household,"Dasgupta, Varma and Ghosh",851.46,543.51
76,Animi Product,Household,"Lala, Majumdar and Bhat",434.18,333.64
77,Autem Product,Beverages,"Chad, Ramachandran and Loke",316.87,260.52
78,Distinctio Product,Fruits,Mangal Ltd,338.79,297.7
79,Id Product,Fruits,"Anne, Zacharia and Kunda",718.37,474.19
80,Sapiente Product,Beverages,"Sur, Johal and Din",820.44,667.28
81,Dolores Product,Dairy,Behl PLC,197.98,120.05
82,Odit Product,Dairy,Maharaj-Deshpande,383.52,343.68
83,Magnam Product,Household,Chopra-Kala,903.9,461.27
84,Animi Product,Snacks,Khatri-Hayer,810.56,600.96
85,Nihil Product,Dairy,Deo-Lata,985.16,752.47
86,Labore Product,Snacks,"Jayaraman, Desai and Manda",759.16,588.51
87,Quia Product,Fruits,Raju-Sarraf,405.33,222.18
88,Ratione Product,Snacks,"Rama, Gaba and Rajan",598.83,524.22
89,Perferendis Product,Fruits,"Dey, Talwar and Bhatt",667.79,382.29
90,At Product,Beverages,Mandal-Saxena,96.89,72.58
91,Est Product,Beverages,Sidhu LLC,553.61,326.12
92,Rem Product,Household,Mahal Ltd,715.13,445.44
93,Dolore Product,Dairy,"Garg, Sheth and Dyal",183.97,132.2
94,Autem Product,Household,"Kumar, Sha and Tata",785.02,523.51
95,Ut Product,Fruits,Sura LLC,592.1,334.0
96,Est Product,Household,Basu LLC,953.18,541.76
97,Nesciunt Product,Snacks,Shere and Sons,61.57,41.08
98,Unde Product,Fruits,Trivedi-Jhaveri,280.02,224.83
99,Exercitationem Product,Beverages,Dugar-Sethi,609.52,523.69
100,Ad Product,Dairy,"Barad, Rajagopalan and Bumb",310.63,165.77
101,Fugiat Product,Fruits,Suri Inc,720.14,473.31
102,Eveniet Product,Fruits,Devan-Sathe,763.83,412.54
103,Veritatis Product,Snacks,Sane-Kapur,120.47,61.03
104,Assumenda Product,Dairy,Bhalla and Sons,523.58,400.38
105,Tenetur Product,Beverages,Krishna Inc,518.71,384.35
106,Iusto Product,Fruits,Maharaj-Bhatti,381.9,215.85
107,Reprehenderit Product,Fruits,Trivedi Inc,934.27,554.51
108,Animi Product,Snacks,Sachdeva Ltd,830.96,423.36
109,Occaecati Product,Household,"Badal, Chakraborty and Jain",703.27,586.51
110,Ab Product,Beverages,"Sandhu, Ramachandran and Mahajan",720.04,640.75
111,Dolore Product,Dairy,"Singh, Chauhan and Chadha",472.48,261.84
112,Quae Product,Fruits,Edwin LLC,922.57,546.71
113,Earum Product,Fruits,D’Alia-Kapadia,700.7,593.75
114,Nobis Product,Beverages,"Das, Balay and Solanki",734.4,639.36
115,Vel Product,Household,Vaidya-Subramaniam,864.46,577.33
116,Sapiente Product,Fruits,Sur Group,288.59,150.14
117,Quam Product,Beverages,Tiwari-Dora,810.93,418.24
118,Assumenda Product,Snacks,"Sodhi, Lal and Dey",211.34,154.19
119,Soluta Product,Household,Kaur-Garg,358.44,235.55
120,Quaerat Product,Dairy,"Solanki, Setty and Tella",348.9,178.45
121,Accusantium Product,Fruits,"Dixit, Deol and Mann",978.95,717.86
122,Aperiam Product,Beverages,Tank-Sami,859.41,433.59
123,Quod Product,Snacks,Date Ltd,707.15,576.29
124,Minima Product,Dairy,"Wali, Hayer and Ghose",732.52,456.05
125,Quibusdam Product,Beverages,Kanda-Sharma,570.83,294.61
126,Corporis Product,Beverages,"Handa, Kunda and Tandon",948.15,697.21
127,Vero Product,Dairy,Chad-Mane,506.33,333.71
128,Illo Product,Snacks,Bajaj-Kohli,392.91,349.5
129,Quia Product,Snacks,Bose Inc,179.77,129.02
130,Laborum Product,Household,"Jani, Mane and Chandran",790.48,482.27
131,Minima Product,Fruits,Thaker-Gokhale,739.76,579.81
132,Explicabo Product,Dairy,"Mahajan, Cheema and Zacharia",396.67,241.41
133,Illo Product,Dairy,"Ramakrishnan, Raman and Tara",44.69,38.51
134,Fugit Product,Dairy,Majumdar-Yadav,842.22,547.35
135,Vero Product,Snacks,"Roy, Sidhu and Randhawa",31.19,22.46
136,Veritatis Product,Fruits,"Goda, Dutt and Gala",709.63,369.17
137,Expedita Product,Household,Bose PLC,970.85,650.9
138,Tempora Product,Beverages,Bhakta and Sons,448.91,373.92
139,Non Product,Beverages,"Swaminathan, Johal and Dalal",250.27,205.79
140,Deleniti Product,Dairy,Gala Group,710.77,419.16
141,Minima Product,Fruits,Ramesh-Dhillon,820.79,484.62
142,Molestiae Product,Snacks,Saran-Sahota,555.5,459.36
143,Aspernatur Product,Fruits,"Doctor, Sandhu and Venkatesh",967.69,843.98
144,Perferendis Product,Fruits,Keer Group,70.64,38.01
145,Facere Product,Snacks,"Jha, Sood and Kunda",514.7,350.01
146,Laudantium Product,Dairy,Khanna-Goda,724.08,459.78
147,Eius Product,Fruits,Kashyap PLC,865.39,734.09
148,Fugit Product,Beverages,Iyer-Wali,195.67,104.37
149,Quod Product,Snacks,"Bath, Balasubramanian and Ram",804.0,469.9
150,Itaque Product,Household,Seth Ltd,561.65,449.87
151,Laborum Product,Dairy,Mahal and Sons,408.62,212.69
152,Quibusdam Product,Snacks,Choudhry-Doshi,149.08,103.91
153,Expedita Product,Household,Lala Inc,867.99,587.49
154,Harum Product,Household,"Jhaveri, Sawhney and Ben",174.13,110.36
155,Est Product,Fruits,Sant-Khalsa,323.59,212.87
156,Quae Product,Fruits,Ganesan-Tella,304.24,216.61
157,Praesentium Product,Fruits,Sharaf-Luthra,873.99,493.41
158,Voluptate Product,Snacks,Warrior-Thakur,679.25,495.04
159,Ad Product,Snacks,Das-Gera,800.75,658.35
160,Quia Product,Dairy,"Chahal, Brahmbhatt and Bedi",265.46,213.45
161,Odit Product,Fruits,"Chakraborty, Sagar and Sura",632.38,355.12
162,Totam Product,Household,Dar-Dara,580.31,324.8
163,Ex Product,Beverages,Butala-Ratta,836.17,507.78
164,Consequatur Product,Dairy,Dani LLC,907.97,585.12
165,Laborum Product,Snacks,"Dara, Behl and Balan",31.91,21.17
166,Vitae Product,Dairy,Mani PLC,680.54,525.29
167,Culpa Product,Dairy,"Tandon, Bajwa and Bakshi",70.8,37.01
168,Velit Product,Dairy,Toor-Ahuja,557.88,286.68
169,Repellendus Product,Dairy,"Jha, Walia and Kapoor",301.88,198.26
170,Saepe Product,Beverages,"Iyengar, Ratta and Sabharwal",320.64,249.74
171,Error Product,Fruits,Mander-Rastogi,365.9,211.26
172,Reprehenderit Product,Household,"Agarwal, Tiwari and Bhavsar",628.87,475.8
173,Nostrum Product,Dairy,Biswas Group,347.37,209.79
174,Explicabo Product,Dairy,Roy-Chada,738.05,630.62
175,Facere Product,Dairy,Sharaf Ltd,416.44,357.42
176,Quas Product,Fruits,"Gole, Das and Shere",86.99,53.84
177,Nulla Product,Snacks,"Krishnamurthy, Shenoy and Dada",788.08,466.54
178,Consequuntur Product,Snacks,"Gokhale, Kannan and Kari",300.04,199.38
179,Accusantium Product,Beverages,Suri-Gour,444.11,264.78
180,Omnis Product,Snacks,Khare-Ramaswamy,691.74,531.92
181,Voluptatum Product,Dairy,"Ghosh, Tella and Sarna",345.81,287.17
182,Ex Product,Dairy,Bobal Ltd,75.45,58.04
183,Quo Product,Dairy,"Bath, Mand and Bhasin",386.44,320.64
184,Enim Product,Beverages,Ghosh-Vora,945.56,622.93
185,Sapiente Product,Dairy,Gour-Vaidya,648.9,365.02
186,Ullam Product,Snacks,Bandi-Chandran,678.05,539.17
187,Quia Product,Fruits,Wadhwa-Mann,639.64,412.05
188,Iure Product,Fruits,Rau-Mahajan,215.01,165.24
189,Quaerat Product,Household,"Dugal, Tata and Vora",429.97,261.53
190,Quae Product,Snacks,Tailor-Kant,755.92,402.52
191,Quia Product,Dairy,Borah and Sons,119.35,107.06
192,Eum Product,Fruits,"Soman, Srinivas and Bora",292.3,164.41
193,Quod Product,Snacks,"Deo, Dada and Chanda",290.79,260.36
194,Porro Product,Fruits,"Karpe, Lall and Swamy",443.38,395.01
195,Officia Product,Dairy,Devan and Sons,980.76,801.8
196,Ullam Product,Fruits,Sani Group,86.15,65.8
197,Libero Product,Household,Hora LLC,528.33,386.27
198,Aspernatur Product,Household,"Ganesh, Toor and Tak",195.78,165.72
199,Sit Product,Fruits,Dugar and Sons,971.26,598.08
200,Facere Product,Snacks,"Bassi, Ratta and Batra",131.04,90.03
201,Iure Product,Snacks,Chaudhari PLC,415.53,310.72
202,Eligendi Product,Snacks,Kale-Ram,743.13,493.79
203,Modi Product,Fruits,Bhasin LLC,710.46,476.71
204,Aliquam Product,Snacks,Ramesh Inc,434.27,274.51
205,Animi Product,Dairy,Bal Ltd,359.59,260.95
206,Sunt Product,Household,"Dash, Varma and Rao",409.66,344.21
207,Assumenda Product,Dairy,Doshi-Kashyap,278.99,161.98
208,Deserunt Product,Snacks,D’Alia Group,221.23,193.3
209,Ipsum Product,Dairy,"Anand, Balan and Deol",493.38,382.68
210,Ipsa Product,Snacks,Dara-Dara,283.16,234.83
211,Cumque Product,Fruits,Grover LLC,301.71,217.98
212,Voluptas Product,Dairy,Seth Inc,663.62,538.73
213,Necessitatibus Product,Fruits,"Kalla, Sur and Som",969.17,490.87
214,Quaerat Product,Fruits,"Din, Kale and Bains",611.56,505.98
215,Quibusdam Product,Beverages,Sawhney-Sampath,95.44,49.25
216,Iusto Product,Snacks,"Kothari, Verma and Saran",94.07,80.52
217,Laborum Product,Household,Goyal-Bajwa,952.39,854.09
218,Eaque Product,Snacks,Verma-Korpal,311.34,192.29
219,Aliquid Product,Household,Toor Group,110.23,64.39
220,Veritatis Product,Snacks,Dora-Ganesh,607.06,489.38
221,Ratione Product,Fruits,Tata and Sons,631.18,379.47
222,Et Product,Dairy,Kapur-Kaul,655.53,554.73
223,Nemo Product,Dairy,"Rana, Sethi and Maharaj",282.05,152.63
224,Laborum Product,Beverages,Cherian-Hans,34.81,19.16
225,Neque Product,Household,Savant Ltd,965.72,861.09
226,Quia Product,Household,"Golla, Doctor and Ghosh",265.88,204.6
227,Illo Product,Household,Gour Group,682.51,572.46
228,Aliquid Product,Fruits,"Dalal, Bail and Choudhary",712.5,448.68
229,Reiciendis Product,Household,Rastogi Group,617.81,476.08
230,Sunt Product,Dairy,Chahal-Date,326.65,240.97
231,Voluptates Product,Fruits,Goda-Bakshi,285.67,211.76
232,Recusandae Product,Snacks,"Kade, Kuruvilla and Chakrabarti",605.71,468.22
233,Consequuntur Product,Household,Chander Ltd,868.77,634.33
234,Quos Product,Household,Deo-Yohannan,947.8,636.57
235,Illo Product,Snacks,Kapadia-Ratti,123.79,75.56
236,Iste Product,Household,Ghosh Ltd,171.73,138.66
237,Excepturi Product,Snacks,Mahajan Group,945.84,558.53
238,Voluptatum Product,Fruits,Rau-Din,741.8,576.34
239,Alias Product,Dairy,"Sethi, Raman and Khanna",885.33,525.3
240,Corporis Product,Snacks,Apte-Dhawan,218.58,163.96
241,Repellendus Product,Beverages,Iyer Group,595.83,475.97
242,Quo Product,Snacks,Ben PLC,707.12,415.42
243,Asperiores Product,Household,"Sunder, Bose and Dhawan",686.51,359.72
244,Rem Product,Fruits,"Tandon, Sabharwal and Barad",419.99,232.0
245,Incidunt Product,Fruits,Boase-Kaul,35.09,26.05
246,Eos Product,Snacks,"Mander, Kannan and Vaidya",591.27,496.54
247,Natus Product,Dairy,"Sharma, Bhatnagar and Ravi",268.04,138.84
248,Harum Product,Beverages,Cheema Inc,461.25,366.08
249,Mollitia Product,Fruits,Bora Group,958.43,610.07
250,Ullam Product,Household,Sama-Balan,411.05,284.2
251,Alias Product,Household,"Chadha, Bava and Taneja",843.01,734.72
252,Corporis Product,Dairy,Bhargava-Bhavsar,204.77,129.58
253,Aliquid Product,Fruits,Bal Inc,679.01,465.89
254,Incidunt Product,Snacks,"Mann, Ganesan and Kakar",977.47,494.08
255,Praesentium Product,Household,Kuruvilla Ltd,119.86,63.84
256,Optio Product,Dairy,Bhatnagar Inc,28.15,16.99
257,Architecto Product,Fruits,Dube-Sharaf,444.91,227.41
258,Ea Product,Fruits,"Sankar, Khatri and Sankaran",110.77,83.36
259,Error Product,Fruits,Ahuja and Sons,753.42,505.21
260,Distinctio Product,Fruits,Sane PLC,916.26,659.03
261,Eum Product,Fruits,"Mander, Babu and Mani",445.34,253.78
262,Beatae Product,Household,Jhaveri LLC,273.54,169.15
263,Ipsa Product,Dairy,Uppal-Bal,445.72,341.21
264,Quasi Product,Fruits,Krishna LLC,728.98,645.96
265,Tempore Product,Beverages,Sinha-Kala,28.87,15.02
266,Repellat Product,Beverages,Kant Group,597.66,511.69
267,Magnam Product,Dairy,Sheth-Atwal,621.03,453.82
268,Laborum Product,Snacks,Khanna-Kota,644.93,467.94
269,Pariatur Product,Snacks,"Barman, Biswas and Boase",257.18,180.05
270,Soluta Product,Snacks,"Apte, Acharya and Kibe",719.77,379.86
271,Ducimus Product,Beverages,Rama LLC,109.56,58.72
272,Debitis Product,Snacks,Sagar-Sule,215.28,159.39
273,Blanditiis Product,Household,Ganesh Inc,879.92,559.97
274,Sit Product,Fruits,Choudhary Inc,743.95,644.94
275,Iste Product,Beverages,"Guha, Yadav and Kakar",33.47,22.18
276,Eos Product,Dairy,Amble and Sons,263.41,146.8
277,Voluptatem Product,Dairy,Bhardwaj and Sons,230.12,180.85
278,Facere Product,Fruits,Basak-Tella,285.39,176.18
279,Consequuntur Product,Beverages,Warrior LLC,262.61,186.5
280,Sunt Product,Snacks,Ramesh-Sridhar,81.28,63.33
281,Similique Product,Snacks,"Arya, Kuruvilla and Lad",469.76,404.04
282,Molestiae Product,Household,"Singhal, Goswami and Dhar",738.08,602.92
283,Nostrum Product,Household,Balan Group,614.6,473.58
284,Excepturi Product,Snacks,"Gole, Manda and Sant",679.41,524.4
285,Exercitationem Product,Dairy,"Bose, Bala and Chowdhury",99.53,87.42
286,Odio Product,Dairy,Desai Inc,952.46,588.93
287,Soluta Product,Household,"Loke, Halder and Dhar",841.72,421.23
288,Asperiores Product,Fruits,Kulkarni Inc,808.99,492.5
289,Sunt Product,Snacks,Saran LLC,826.52,485.3
290,Hic Product,Household,Golla-Warrior,934.06,714.31
291,Sed Product,Household,Hayer-Mani,553.37,416.96
292,Odio Product,Snacks,"Wadhwa, Mane and Lal",216.28,159.48
293,Molestias Product,Snacks,Goda-Ghosh,624.45,316.28
294,A Product,Dairy,Garg-Grover,748.02,592.07
295,Quas Product,Fruits,"Raval, Sampath and Sundaram",743.16,467.75
296,Esse Product,Fruits,Loyal Ltd,531.02,406.77
297,Impedit Product,Snacks,"Vaidya, Contractor and Ranganathan",87.09,62.93
298,Omnis Product,Beverages,Kant LLC,383.69,244.45
299,Explicabo Product,Household,Bhandari Group,922.35,510.83
300,Soluta Product,Household,Bhasin Ltd,592.76,318.77
301,Tenetur Product,Snacks,Gara-Bains,547.57,455.91
302,Voluptatum Product,Beverages,"Dey, Kant and Zachariah",283.48,245.88
303,Ratione Product,Dairy,Loyal-Chauhan,381.08,289.59
304,Minima Product,Snacks,"Ramanathan, Singh and Rao",897.44,485.85
305,Dicta Product,Snacks,"Rajagopal, Bath and Banerjee",673.13,444.81
306,Rerum Product,Household,Sami-Bhatnagar,791.64,626.64
307,Distinctio Product,Snacks,"Kaul, Babu and Mani",465.26,377.76
308,Quae Product,Snacks,Sibal-Bakshi,637.64,348.97
309,Ad Product,Snacks,Kaur Ltd,263.42,131.71
310,Nemo Product,Household,"Malhotra, Ganguly and Dayal",711.35,558.31
311,Repellendus Product,Dairy,Bobal Group,439.05,282.15
312,Repudiandae Product,Dairy,Keer-Handa,453.69,273.03
313,Eius Product,Snacks,"Soni, Mandal and Yogi",656.34,331.56
314,Quam Product,Household,"Walia, Koshy and Bassi",937.56,671.41
315,Porro Product,Dairy,Mani-Doshi,82.73,69.53
316,Earum Product,Dairy,"Kata, Mangal and Shere",828.25,731.39
317,Saepe Product,Dairy,"Srinivasan, Bala and Madan",306.54,222.64
318,Animi Product,Household,Hari LLC,455.04,321.16
319,Nesciunt Product,Household,Dutt Ltd,41.48,22.15
320,Quam Product,Snacks,"Dayal, Mand and Kapur",315.03,226.68
321,Saepe Product,Fruits,Ramanathan-Kota,512.58,334.2
322,Laudantium Product,Dairy,Bhat and Sons,75.05,55.75
323,Quasi Product,Fruits,"Aurora, Bobal and Gola",501.27,328.58
324,Aut Product,Household,Sibal-Chakraborty,928.57,553.54
325,Assumenda Product,Household,Kaur Inc,123.29,66.33
326,Voluptatibus Product,Household,Bose-Choudhry,769.15,481.46
327,Laudantium Product,Fruits,"Ganesan, Krishnan and Bobal",421.48,227.03
328,Incidunt Product,Household,Bahl-Shere,662.07,377.88
329,Cupiditate Product,Snacks,"Roy, Tata and Dash",275.03,246.13
330,Repellendus Product,Household,Sengupta and Sons,176.3,119.47
331,Dolor Product,Beverages,Ramesh and Sons,177.25,126.33
332,Aliquid Product,Fruits,"Sabharwal, Sridhar and Kannan",89.08,75.67
333,At Product,Beverages,Balasubramanian-Seshadri,201.93,181.38
334,Ratione Product,Household,"Mane, Dutt and Bedi",670.93,491.85
335,Ad Product,Snacks,"Chad, Dayal and Ray",884.06,729.34
336,Consequatur Product,Dairy,Gole LLC,817.84,515.87
337,Ea Product,Household,Aggarwal-Chacko,691.43,430.28
338,Non Product,Snacks,Khanna-Kale,128.22,84.76
339,Nisi Product,Fruits,Tailor-Wadhwa,303.4,233.32
340,Eos Product,Beverages,Buch-Dave,323.61,250.11
341,Quam Product,Beverages,"Lad, Korpal and Chaudhuri",264.96,165.89
342,Nisi Product,Beverages,Kothari LLC,524.71,290.31
343,Dolorem Product,Fruits,Bali Group,544.84,410.24
344,Facere Product,Snacks,Gala and Sons,369.75,203.85
345,Dicta Product,Fruits,"Rattan, Dewan and Gara",366.71,268.21
346,Nam Product,Beverages,Sunder-Kara,831.98,646.76
347,Eos Product,Household,"Sundaram, Babu and Ramesh",793.51,619.13
348,Eum Product,Dairy,"Lala, Dewan and Dave",321.64,257.76
349,Magni Product,Fruits,Deo PLC,915.51,777.4
350,Incidunt Product,Fruits,Jayaraman-Dara,953.76,667.62
351,Cum Product,Snacks,Bajaj-Bora,340.21,269.48
352,Hic Product,Snacks,Sabharwal-Wason,367.34,274.65
353,Eum Product,Fruits,"Sethi, Krishnamurthy and Wagle",515.52,296.25
354,Quibusdam Product,Beverages,"Bose, Sathe and Brar",942.3,480.83
355,Enim Product,Dairy,Jayaraman Ltd,878.79,539.42
356,Ipsa Product,Snacks,Kakar-Talwar,120.52,81.62
357,Tempora Product,Beverages,"Kunda, Dey and Acharya",404.88,302.38
358,Reprehenderit Product,Household,Rastogi-Dani,562.3,472.32
359,Delectus Product,Snacks,"Desai, Mall and Bose",513.07,296.81
360,Hic Product,Beverages,Lad Group,209.99,115.54
361,Distinctio Product,Beverages,Dara-Anne,861.64,762.89
362,Voluptatem Product,Dairy,Kant PLC,683.4,371.24
363,Quos Product,Dairy,"Din, Dutta and Mane",841.15,581.57
364,Hic Product,Household,Jaggi PLC,861.59,632.6
365,Ad Product,Beverages,Dube PLC,753.39,539.84
366,Deleniti Product,Beverages,"Kuruvilla, Chaudhary and Dani",450.43,240.72
367,Unde Product,Dairy,Dutt PLC,618.34,323.27
368,Eaque Product,Snacks,Tank and Sons,177.16,96.05
369,Amet Product,Snacks,"Sani, Chatterjee and Mandal",680.17,499.4
370,Magnam Product,Fruits,"Dutt, Khatri and Yadav",195.67,140.44
371,Esse Product,Dairy,Seshadri Group,700.07,415.49
372,Aliquid Product,Fruits,Rastogi-Walia,245.01,185.01
373,Culpa Product,Dairy,Chana-Randhawa,135.2,111.95
374,Dolore Product,Household,Divan-Mannan,181.98,94.02
375,Dolor Product,Beverages,Dixit Group,21.95,15.35
376,Ducimus Product,Household,Dalal and Sons,724.36,561.9
377,Nihil Product,Dairy,"Hans, Varty and Bail",737.75,443.33
378,Dignissimos Product,Beverages,Cherian Group,524.63,326.9
379,Quod Product,Snacks,"Gandhi, Sarkar and Soni",178.14,132.8
380,Ipsum Product,Snacks,Wason Group,101.88,87.53
381,Explicabo Product,Fruits,Suresh PLC,38.75,31.93
382,Rem Product,Dairy,Walia-Kamdar,182.43,133.77
383,Quod Product,Dairy,"Chauhan, Barman and Ahluwalia",893.04,707.37
384,Quis Product,Snacks,Lad-Toor,256.71,165.82
385,Aperiam Product,Household,Dada Group,367.19,277.74
386,Asperiores Product,Beverages,Subramaniam Ltd,123.24,84.6
387,Quae Product,Household,"Gade, Maharaj and Thakur",237.91,137.03
388,Assumenda Product,Household,Mandal-Divan,528.84,412.86
389,Molestiae Product,Snacks,"Bedi, Konda and Gopal",615.6,444.82
390,Eaque Product,Snacks,Sehgal and Sons,260.45,167.59
391,Error Product,Snacks,Rau LLC,76.58,66.21
392,Natus Product,Fruits,Kaul-Lata,403.21,204.98
393,Omnis Product,Household,Loyal-Cherian,249.52,156.28
394,Nostrum Product,Dairy,Ratta-Deep,235.16,122.93
395,Et Product,Beverages,"Ratta, Keer and Joshi",960.67,774.89
396,Aspernatur Product,Fruits,Lanka-Dugar,623.97,487.22
397,Excepturi Product,Dairy,Handa-Sami,565.74,357.85
398,Praesentium Product,Household,Vig Ltd,427.46,329.26
399,Esse Product,Snacks,Deshpande-Mandal,440.37,289.93
400,Ad Product,Household,Sanghvi-De,550.09,441.45
401,Cupiditate Product,Beverages,Sandhu Group,702.5,478.88
402,Voluptate Product,Fruits,"Divan, Chaudhari and Kakar",708.1,470.82
403,Nostrum Product,Fruits,Ramachandran-Bath,188.26,164.52
404,Laboriosam Product,Beverages,"Savant, Varma and Mander",510.11,306.25
405,Eius Product,Dairy,Viswanathan PLC,423.72,232.27
406,Facere Product,Dairy,Behl-Balakrishnan,873.12,640.71
407,Hic Product,Fruits,"Khalsa, Varughese and Gokhale",638.79,567.07
408,Aut Product,Fruits,Taneja Inc,541.85,352.82
409,Delectus Product,Snacks,"Andra, Sarma and Gara",133.09,69.85
410,Quam Product,Dairy,Basak-Manda,613.53,390.03
411,Nisi Product,Beverages,Kalla-Mandal,134.86,94.72
412,Fugiat Product,Dairy,"Bhakta, Varghese and Banik",350.46,197.93
413,Assumenda Product,Snacks,Sandhu-Loyal,159.99,122.11
414,Tempore Product,Fruits,Bal-Biswas,698.23,627.78
415,Quaerat Product,Fruits,Choudhury-Mallick,222.13,151.2
416,Nam Product,Snacks,"Sheth, Krishna and Ram",404.02,259.34
417,Nemo Product,Beverages,Choudhry-Saraf,897.76,592.77
418,Deleniti Product,Fruits,"Edwin, Saraf and Saxena",220.23,120.26
419,Nostrum Product,Household,Chandran-Roy,517.65,441.72
420,Deleniti Product,Fruits,"Varughese, Sunder and Swamy",430.89,286.94
421,Laboriosam Product,Household,Ganesh PLC,37.76,24.73
422,Veritatis Product,Snacks,Dyal-Butala,796.9,608.73
423,Repellendus Product,Snacks,Sehgal-Tiwari,87.66,59.33
